Transaction_ID,Date,Account,Category,Sub_Category,Description,Amount,Currency,Status,Merchant,Tax_Tag,Project,Balance
TXN-1001,2026-01-01,Checking,Lifestyle,Entertainment,Cinema/Streaming,-110.25,USD,Cleared,Merchant_21,ENT-01,Personal,4889.75
TXN-1002,2026-01-01,Credit,Travel,Uber,Airport Ride,-25.03,USD,Cleared,Merchant_18,BIZ-TRAV,Travel_Q1,4864.72
TXN-1003,2026-01-02,Checking,Dining,Restaurant,Client Lunch,-18.74,USD,Cleared,Merchant_6,BIZ-MEAL,Sales,4845.98
TXN-1004,2026-01-02,Credit,Dining,Restaurant,Client Lunch,-138.54,USD,Cleared,Merchant_27,BIZ-MEAL,Sales,4707.44
TXN-1005,2026-01-02,Checking,Transport,Fuel,Gas Station,-49.6,USD,Cleared,Merchant_44,TRA-01,Commute,4657.84
TXN-1006,2026-01-03,Checking,Lifestyle,Entertainment,Cinema/Streaming,-126.04,USD,Cleared,Merchant_23,ENT-01,Personal,4531.80
TXN-1007,2026-01-03,Checking,Dining,Restaurant,Client Lunch,-37.01,USD,Cleared,Merchant_24,BIZ-MEAL,Sales,4494.79
TXN-1008,2026-01-03,Checking,Business,Software,SaaS Subscription,-41.99,USD,Cleared,Merchant_21,BIZ-EXP,Project_Alpha,4452.80
TXN-1009,2026-01-04,Credit,Dining,Restaurant,Client Lunch,-43.57,USD,Cleared,Merchant_9,BIZ-MEAL,Sales,4409.23
TXN-1010,2026-01-04,Checking,Healthcare,Pharmacy,Medical Supplies,-86.14,USD,Cleared,Merchant_42,MED-01,Wellness,4323.09
TXN-1011,2026-01-04,Credit,Dining,Restaurant,Client Lunch,-116.44,USD,Cleared,Merchant_49,BIZ-MEAL,Sales,4206.65
TXN-1012,2026-01-05,Credit,Dining,Restaurant,Client Lunch,-115.69,USD,Cleared,Merchant_34,BIZ-MEAL,Sales,4090.96
TXN-1013,2026-01-05,Checking,Healthcare,Pharmacy,Medical Supplies,-142.67,USD,Cleared,Merchant_2,MED-01,Wellness,3948.29
TXN-1014,2026-01-05,Credit,Lifestyle,Entertainment,Cinema/Streaming,-73.7,USD,Cleared,Merchant_42,ENT-01,Personal,3874.59
TXN-1015,2026-01-06,Checking,Dining,Restaurant,Client Lunch,-64.76,USD,Cleared,Merchant_42,BIZ-MEAL,Sales,3809.83
TXN-1016,2026-01-06,Credit,Food,Groceries,Weekly Shop,-99.75,USD,Cleared,Merchant_22,FOOD-01,Living,3710.08
TXN-1017,2026-01-06,Checking,Dining,Restaurant,Client Lunch,-136.27,USD,Cleared,Merchant_37,BIZ-MEAL,Sales,3573.81
TXN-1018,2026-01-07,Checking,Healthcare,Pharmacy,Medical Supplies,-19.18,USD,Cleared,Merchant_33,MED-01,Wellness,3554.63
TXN-1019,2026-01-07,Checking,Business,Software,SaaS Subscription,-29.12,USD,Cleared,Merchant_28,BIZ-EXP,Project_Alpha,3525.51
TXN-1020,2026-01-07,Checking,Business,Software,SaaS Subscription,-52.04,USD,Cleared,Merchant_40,BIZ-EXP,Project_Alpha,3473.47
TXN-1021,2026-01-08,Checking,Business,Software,SaaS Subscription,-100.28,USD,Cleared,Merchant_37,BIZ-EXP,Project_Alpha,3373.19
TXN-1022,2026-01-08,Credit,Business,Software,SaaS Subscription,-14.3,USD,Cleared,Merchant_4,BIZ-EXP,Project_Alpha,3358.89
TXN-1023,2026-01-08,Checking,Travel,Uber,Airport Ride,-22.53,USD,Cleared,Merchant_43,BIZ-TRAV,Travel_Q1,3336.36
TXN-1024,2026-01-09,Credit,Lifestyle,Entertainment,Cinema/Streaming,-111.43,USD,Cleared,Merchant_26,ENT-01,Personal,3224.93
TXN-1025,2026-01-09,Credit,Dining,Restaurant,Client Lunch,-10.41,USD,Cleared,Merchant_3,BIZ-MEAL,Sales,3214.52
TXN-1026,2026-01-09,Checking,Dining,Restaurant,Client Lunch,-115.43,USD,Cleared,Merchant_26,BIZ-MEAL,Sales,3099.09
TXN-1027,2026-01-10,Credit,Transport,Fuel,Gas Station,-75.03,USD,Cleared,Merchant_41,TRA-01,Commute,3024.06
TXN-1028,2026-01-10,Checking,Food,Groceries,Weekly Shop,-16.1,USD,Cleared,Merchant_1,FOOD-01,Living,3007.96
TXN-1029,2026-01-10,Checking,Travel,Uber,Airport Ride,-74.22,USD,Cleared,Merchant_0,BIZ-TRAV,Travel_Q1,2933.74
